Tanggal,DKI Jakarta,,,,,,,,
01/01/2019,"123,750",,,,,,,,
07/01/2019,"123,750",,,,,,,,
14/01/2019,"123,750",,,,,,,,
21/01/2019,"123,750",,,,,,,,
28/01/2019,"123,750",,,,,,,,
04/02/2019,"123,750",,,,,,,,
11/02/2019,"123,750",,,,,,,,
18/02/2019,"123,750",,,,,,,,
25/02/2019,"123,750",,,,,,,,
04/03/2019,"123,750",,,,,,,,
11/03/2019,"123,750",,,,,,,,
18/03/2019,"123,750",,,,,,,,
25/03/2019,"123,750",,,,,,,,
01/04/2019,"123,750",,,,,,,,
08/04/2019,"123,750",,,,,,,,
15/04/2019,"123,750",,,,,,,,
22/04/2019,"123,750",,,,,,,,
29/04/2019,"125,425",,,,,,,,
06/05/2019,"125,425",,,,,,,,
13/05/2019,"127,900",,,,,,,,
20/05/2019,"127,900",,,,,,,,
27/05/2019,"130,150",,,,,,,,
03/06/2019,"137,740",,,,,,,,
10/06/2019,"129,580",,,,,,,,
17/06/2019,"126,675",,,,,,,,
24/06/2019,"129,075",,,,,,,,
01/07/2019,"129,575",,,,,,,,
08/07/2019,"129,575",,,,,,,,
15/07/2019,"129,575",,,,,,,,
22/07/2019,"129,575",,,,,,,,
29/07/2019,"129,575",,,,,,,,
05/08/2019,"129,575",,,,,,,,
12/08/2019,"129,575",,,,,,,,
19/08/2019,"129,575",,,,,,,,
26/08/2019,"129,575",,,,,,,,
02/09/2019,"129,575",,,,,,,,
09/09/2019,"129,575",,,,,,,,
16/09/2019,"129,575",,,,,,,,
23/09/2019,"128,255",,,,,,,,
30/09/2019,"127,925",,,,,,,,
07/10/2019,"127,925",,,,,,,,
14/10/2019,"127,925",,,,,,,,
21/10/2019,"127,925",,,,,,,,
28/10/2019,"127,925",,,,,,,,
04/11/2019,"127,925",,,,,,,,
11/11/2019,"127,925",,,,,,,,
18/11/2019,"127,925",,,,,,,,
25/11/2019,"127,925",,,,,,,,
02/12/2019,"127,925",,,,,,,,
09/12/2019,"127,425",,,,,,,,
16/12/2019,"126,675",,,,,,,,
23/12/2019,"126,675",,,,,,,,
30/12/2019,"126,675",,,,,,,,
06/01/2020,"126,675",,,,,,,,
13/01/2020,"126,675",,,,,,,,
20/01/2020,"126,675",,,,,,,,
27/01/2020,"126,675",,,,,,,,
03/02/2020,"126,675",,,,,,,,
10/02/2020,"126,675",,,,,,,,
17/02/2020,"126,675",,,,,,,,
24/02/2020,"126,675",,,,,,,,
02/03/2020,"126,675",,,,,,,,
09/03/2020,"126,675",,,,,,,,
16/03/2020,"126,675",,,,,,,,
23/03/2020,"126,675",,,,,,,,
30/03/2020,"126,675",,,,,,,,
06/04/2020,"126,675",,,,,,,,
13/04/2020,"126,675",,,,,,,,
20/04/2020,"126,675",,,,,,,,
27/04/2020,"126,675",,,,,,,,
04/05/2020,"126,675",,,,,,,,
11/05/2020,"126,675",,,,,,,,
18/05/2020,"137,500",,,,,,,,
25/05/2020,"137,500",,,,,,,,
01/06/2020,"132,833",,,,,,,,
08/06/2020,"130,000",,,,,,,,
15/06/2020,"130,000",,,,,,,,
22/06/2020,"128,005",,,,,,,,
29/06/2020,"126,675",,,,,,,,
06/07/2020,"126,675",,,,,,,,
13/07/2020,"126,675",,,,,,,,
20/07/2020,"126,675",,,,,,,,
27/07/2020,"126,923",,,,,,,,
03/08/2020,"126,675",,,,,,,,
10/08/2020,"126,675",,,,,,,,
17/08/2020,"126,675",,,,,,,,
24/08/2020,"126,675",,,,,,,,
31/08/2020,"126,675",,,,,,,,
07/09/2020,"126,675",,,,,,,,
14/09/2020,"126,675",,,,,,,,
21/09/2020,"126,675",,,,,,,,
28/09/2020,"126,675",,,,,,,,
05/10/2020,"126,675",,,,,,,,
12/10/2020,"126,675",,,,,,,,
19/10/2020,"126,675",,,,,,,,
26/10/2020,"126,675",,,,,,,,
02/11/2020,"126,675",,,,,,,,
09/11/2020,"126,675",,,,,,,,
16/11/2020,"126,675",,,,,,,,
23/11/2020,"126,675",,,,,,,,
30/11/2020,"126,675",,,,,,,,
07/12/2020,"126,675",,,,,,,,
14/12/2020,"126,675",,,,,,,,
21/12/2020,"126,675",,,,,,,,
28/12/2020,"128,670",,,,,,,,
04/01/2021,"129,670",,,,,,,,
11/01/2021,"129,175",,,,,,,,
18/01/2021,"129,175",,,,,,,,
25/01/2021,"132,825",,,,,,,,
01/02/2021,"130,825",,,,,,,,
08/02/2021,"128,835",,,,,,,,
15/02/2021,"128,750",,,,,,,,
22/02/2021,"128,750",,,,,,,,
01/03/2021,"128,750",,,135056,131809,120344,125175,114166,127813
08/03/2021,"128,750",,,7773.75,8477.92,7007.25,8721.42,2847.93,9624.98
15/03/2021,"126,675",,,,,,,,
22/03/2021,"126,675",,,5.8,6.4,5.8,7.0,2.5,7.5
29/03/2021,"126,675",,,,,,,,
05/04/2021,"126,675",,,,,,,,
12/04/2021,"135,930",,,,,,,,
19/04/2021,"136,845",,,,,,,,
26/04/2021,"136,675",,,,,,,,
03/05/2021,"143,340",,,,,,,,
10/05/2021,"151,675",,5.81,#REF!,#REF!,#REF!,#REF!,#REF!,
17/05/2021,"148,680",,#REF!,,,,,,
24/05/2021,"148,350",,,,,,,,
31/05/2021,"148,350",,,,,,,,
07/06/2021,"140,010",,,,,,,,
14/06/2021,"138,350",,,,,,,,
21/06/2021,"138,350",,,,,,,,
28/06/2021,"138,350",,,,,,,,
05/07/2021,"138,350",,,,,,,,
12/07/2021,"138,350",,,,,,,,
19/07/2021,"138,350",,,,,,,,
26/07/2021,"138,350",,,,,,,,
02/08/2021,"138,350",,,,,,,,
09/08/2021,"138,350",,,,,,,,
16/08/2021,"138,350",,,,,,,,
23/08/2021,"138,350",,,,,,,,
30/08/2021,"138,350",,,,,,,,
06/09/2021,"138,350",,,,,,,,
13/09/2021,"138,350",,,,,,,,
20/09/2021,"138,350",,,,,,,,
