Tanggal,DKI Jakarta,Jawa Barat,Jawa Tengah,D.I Yogyakarta,Jawa Timur,Banten
04/08/2024,144150,144630,130060,136250,122350,136650
04/15/2024,142330,142990,132330,136250,123840,137660
04/22/2024,140000,141700,128990,136250,121520,134660
04/29/2024,140000,141510,127910,136250,121350,134150
05/06/2024,140500,141480,127800,136250,121250,134150
05/13/2024,140000,140940,128250,136250,120840,134070
05/20/2024,140000,140900,127800,136250,120850,133750
05/27/2024,140000,140850,128250,136250,120850,133750
06/03/2024,140000,140850,128000,136250,120600,133750
06/10/2024,140000,140900,128250,136250,120450,133750
06/17/2024,140000,141160,127780,136250,120450,133750
06/24/2024,140000,140870,128200,136250,119910,133750
