Tanggal,DKI Jakarta,Jawa Barat,Jawa Tengah,D.I Yogyakarta,Jawa Timur,Banten
01/01/2019,123750,122300,113868.75,113750,110887.5,116650
01/07/2019,123750,122225,113135,113750,110655,116650
01/14/2019,123750,122225,113100,113750,110935,116650
01/21/2019,123750,122225,113090,113750,110925,116650
01/28/2019,123750,122225,113050,113750,110925,116650
02/04/2019,123750,122225,113630,113750,112490,116650
02/11/2019,123750,122225,113035,113750,110925,116650
02/18/2019,123750,122285,113175,113750,110910,116650
02/25/2019,123750,122300,113175,113750,111045,116650
03/04/2019,123750,122300,113175,113750,111050,116650
03/11/2019,123750,122300,113175,113750,111000,116650
03/18/2019,123750,122300,113175,113750,111020,116650
03/25/2019,123750,122300,113175,113750,110430,116650
04/01/2019,123750,122300,111912.5,113750,111077.5,116330
04/08/2019,123750,122300,111625,113750,111060,116250
04/15/2019,123750,122305,111550,113750,111047.5,116250
04/22/2019,123750,122350,111625,113750,111055,116250
04/29/2019,125425,122462.5,111650,113750,108590,116250
05/06/2019,125425,123255,111675,113750,111160,116250
05/13/2019,127900,122730,111755,113750,111150,116250
05/20/2019,127900,123325,111825,113750,111130,116775
05/27/2019,130150,123770,112380,114000,113190,117865
06/03/2019,137740,132542.5,122997.5,123125,118120,124865
06/10/2019,129580,124820,118695,118250,114785,116750
06/17/2019,126675,123695,114845,113750,112870,116575
06/24/2019,129075,122885,114000,113750,112675,116575
07/01/2019,129575,122660,113325,113750,111725,116450
07/08/2019,129575,122665,113325,113750,112595,116450
07/15/2019,129575,122665,113225,117625,113045,116450
07/22/2019,129575,122485,113050,118625,113105,116450
07/29/2019,129575,122500,112750,118625,113140,116450
08/05/2019,129575,122500,112750,118650,113155,116450
08/12/2019,129575,122500,112750,118750,113010,116450
08/19/2019,129575,122500,112750,118750,113050,116450
08/26/2019,129575,122440,112580,118750,113000,116450
09/02/2019,129575,122300,112600,118750,113025,116450
09/09/2019,129575,122225,112600,118750,113055,116450
09/16/2019,129575,122225,112600,118750,113175,116450
09/23/2019,128255,122165,112600,118750,113190,116450
09/30/2019,127925,122075,112580,118750,113225,116450
10/07/2019,127925,122075,112570,118750,113205,116450
10/14/2019,127925,122075,112450,118750,113190,116450
10/21/2019,127925,122075,112450,118750,113225,116450
10/28/2019,127925,122075,112450,118750,113220,116450
11/04/2019,127925,122075,112450,118750,113220,116450
11/11/2019,127925,122075,112450,118750,113185,116450
11/18/2019,127925,122075,112450,118750,113145,116450
11/25/2019,127925,122075,112430,118750,113090,116450
12/02/2019,127925,122075,112450,118750,113125,116450
12/09/2019,127425,122075,112450,118750,113135,116450
12/16/2019,126675,122075,112330,118750,113145,116450
12/23/2019,126675,123515,111970,118750,113992.5,116450
12/30/2019,126675,122117.5,112637.5,118750,113112.5,116450
01/06/2020,126675,121875,112530,118750,113055,116450
01/13/2020,126675,121815,112775,118750,111270,116450
01/20/2020,126675,121725,112775,118750,110865,116450
01/27/2020,126675,121725,112775,118750,110630,116450
02/03/2020,126675,121725,112675,118750,110320,116450
02/10/2020,126675,121725,112305,118750,110310,116450
02/17/2020,126675,121725,112465,118750,110815,116450
02/24/2020,126675,121840,112525,118750,111730,116450
03/02/2020,126675,121725,112525,118750,111750,116450
03/09/2020,126675,121725,112535,118750,111255,116450
03/16/2020,126675,121725,112525,118750,111425,116450
03/23/2020,126675,121725,111835,118750,111375,116450
03/30/2020,126675,121725,112525,118750,111555,116450
04/06/2020,126675,121725,113080,118750,111570,116450
04/13/2020,126675,121815,112625,118750,111460,116450
04/20/2020,126675,124190,111805,118750,111260,117160
04/27/2020,126675,124660,110575,118750,111187.5,116650
05/04/2020,126675,124610,110575,118750,111205,116650
05/11/2020,126675,123960,110585,118750,111190,116650
05/18/2020,137500,129118.74,116145,118750,114725,124837.5
05/25/2020,137500,128818.76,116882.5,118750,116192.5,130892.5
06/01/2020,132832.5,124040,112712.5,118750,112957.5,119575
06/08/2020,130000,123000,113405,118750,112545,117925
06/15/2020,130000,122560,113325,118750,111410,117925
06/22/2020,128005,122400,113325,118750,110835,117925
06/29/2020,126675,122250,113325,118750,111125,117925
07/06/2020,126675,122250,113320,118750,111035,117925
07/13/2020,126675,122250,113310,118750,110745,117700
07/20/2020,126675,122250,113325,118750,111310,117700
07/27/2020,126922.5,124162.5,113325,118750,112397.5,120850
08/03/2020,126675,121960,113325,118750,111685,117910
08/10/2020,126675,121900,113325,118750,111395,117075
08/17/2020,126675,121900,114965,118750,112582.5,117075
08/24/2020,126675,121900,113325,118750,111480,117075
08/31/2020,126675,121900,113325,118750,110640,117075
09/07/2020,126675,121900,113445,118750,110760,117075
09/14/2020,126675,121900,113475,118750,111565,117075
09/21/2020,126675,121485,113475,118750,111100,117075
09/28/2020,126675,121900,113475,118750,110880,117075
10/05/2020,126675,121900,113475,118750,110840,117075
10/12/2020,126675,121900,113410,118750,110885,117075
10/19/2020,126675,121900,113150,118750,110625,117075
10/26/2020,126675,122770,112640,118750,111092.5,117075
11/02/2020,126675,121870,113150,118750,111730,117075
11/09/2020,126675,121880,113140,118750,111495,117075
11/16/2020,126675,121875,114545,118750,111575,117075
11/23/2020,126675,121875,115525,118750,111430,117075
11/30/2020,126675,121875,115495,118750,111565,117075
12/07/2020,126675,121830,115925,118750,111080,117075
12/14/2020,126675,121800,115925,118750,111455,117075
12/21/2020,126675,121855,115925,118750,111615,117075
12/28/2020,128670,122075,115925,118750,111560,117075
01/04/2021,129670,122370,115940,118750,111455,117075
01/11/2021,129175,124200,115950,118750,111785,117075
01/18/2021,129175,125040,116045,118750,111285,117075
01/25/2021,132825,126090,116775,118750,111120,123195
02/01/2021,130825,126310,116775,118750,111310,124775
02/08/2021,128835,126325,115450,118750,111325,124817.5
02/15/2021,128750,126325,115375,118750,111400,125455
02/22/2021,128750,126325,115340,118750,111400,125625
03/01/2021,128750,126295,115590,118750,111325,125625
03/08/2021,128750,126250,116475,118562.5,111325,125625
03/15/2021,126675,126205,116475,118125,111090,125625
03/22/2021,126675,126100,116475,118125,111060,125625
03/29/2021,126675,126167.5,116460,118125,111162.5,125625
04/05/2021,126675,126660,116495,118125,111095,126750
04/12/2021,135930,129830,117310,118125,111305,134790
04/19/2021,136845,129800,116850,118125,111205,130425
04/26/2021,136675,129880,116775,118125,111095,131415
05/03/2021,143340,133665,117530,118125,112515,130425
05/10/2021,151675,146947.5,126445,126250,118457.5,153377.5
05/17/2021,148680,139660,123450,123500,116885,135245
05/24/2021,148350,136310,120732.5,117500,112037.5,129587.5
05/31/2021,148350,134985,120150,117500,111975,128750
06/07/2021,140010,134500,119755,117500,112155,128750
06/14/2021,138350,133325,119575,117500,112850,128750
06/21/2021,138350,133275,119370,121100,112850,128750
06/28/2021,138350,133275,119125,122000,112790,128750
07/05/2021,138350,133260,119125,122000,112825,128750
07/12/2021,138350,133200,119125,122000,112840,128750
07/19/2021,138350,135035,119125,122000,112945,132372.5
07/26/2021,138350,133350,119125,122000,112755,128750
08/02/2021,138350,133305,119125,122000,112725,128750
08/09/2021,138350,133050,119150,122000,112675,128750
08/16/2021,138350,132910,119175,122000,112850,128750
08/23/2021,138350,132775,119175,121500,112830,128750
08/30/2021,138350,132725,119115,121375,112810,128750
09/06/2021,138350,132725,119075,121375,112770,128750
09/13/2021,138350,132725,119095,121375,112850,128750
09/20/2021,138350,132725,119275,121375,112910,128750
09/27/2021,138350,132725,119385,113275,112925,128750
10/04/2021,138350,132725,119400,121375,112760,128750
10/11/2021,138350,132725,119400,121375,112900,128750
10/18/2021,138350,132210,119400,121375,112920,128750
10/25/2021,138350,132590,119400,121375,112995,128750
11/01/2021,138350,132575,119550,121375,113615,128750
11/08/2021,138350,132575,119530,121375,113545,128750
11/15/2021,131350,132575,119490,121375,113545,128750
11/22/2021,128350,132575,119550,121375,113280,128750
11/29/2021,128350,132575,119565,121375,113435,128750
12/06/2021,128350,132260,119310,121375,113620,128750
12/13/2021,128350,132575,119280,121375,113750,128750
12/20/2021,128350,132575,119500,121375,113875,128750
12/27/2021,128350,132345,119375,121375,113505,128750
01/03/2022,128350,132000,119335,121375,112970,128750
01/10/2022,127680,132000,119195,121375,113055,128750
01/17/2022,128350,132000,119150,121375,113160,128750
01/24/2022,128350,132000,119155,121375,113145,128750
01/31/2022,128350,132000,119175,121375,113180,128750
02/07/2022,128350,132000,119175,121375,112945,128750
02/14/2022,131180,132575,119175,121375,113095,128750
02/21/2022,136000,132625,119250,121375,113075,128750
02/28/2022,140000,134282.5,119235,121375,113785,136887.5
03/07/2022,140000,135505,119485,121375,113755,138350
03/14/2022,140980,135595,119730,121375,114640,133085
03/21/2022,140850,136350,119800,121375,114845,135000
03/28/2022,140850,138070,120290,121375,115870,141040
04/04/2022,144150,141390,121510,121375,116740,141175
04/11/2022,146170,141615,121635,121375,116920,139600
04/18/2022,146675,141565,122670,121875,116975,140260
04/25/2022,149905,150262.86,131232.86,130892.86,119307.14,148263.58
05/02/2022,148100,152382.14,135857.14,134107.14,119492.86,148796.42
05/09/2022,146675,147730,132605,136250,118295,143410
05/16/2022,146675,146147.5,128735,136250,116782.5,138750
05/23/2022,146675,144070,127675,136250,116782.5,138750
05/30/2022,146675,143125,127670,136250,117062.5,138750
06/06/2022,146675,142900,127590,136250,117490,138750
06/13/2022,146675,142900,127650,136250,115740,138750
06/20/2022,146510,142700,127545,136250,114920,138750
06/27/2022,146675,142205,127325,136250,114070,138750
07/04/2022,145935,142320,127325,136250,113455,140250
07/11/2022,146480,142895,127475,136250,114520,138410
07/18/2022,145825,141800,127475,136250,112530,138325
07/25/2022,145825,141800,127475,136250,112755,138325
08/01/2022,145825,141580,127475,136250,112990,138325
08/08/2022,145410,141335,127345,136250,113150,138325
08/15/2022,145825,140705,127275,136250,112867.5,138325
08/22/2022,146110,140475,127275,136250,114710,138325
08/29/2022,145825,140475,127275,136250,114900,138325
09/05/2022,145180,140475,127275,136250,116130,138325
09/12/2022,145560,140475,127275,136250,116350,138325
09/19/2022,145225,140475,127275,136250,116350,138325
09/26/2022,145660,140535,127275,136250,116470,138325
10/03/2022,142500,140475,127275,136250,116620,138325
10/10/2022,142500,140475,127275,136250,116825,138325
10/17/2022,142500,140225,127275,136250,116650,138325
10/24/2022,142500,140225,127275,136250,116650,138325
10/31/2022,142500,140225,127275,136250,116700,138325
11/07/2022,143000,140225,127595,136250,116510,138325
11/14/2022,142500,140225,127675,136250,116620,138325
11/21/2022,142500,140225,127675,136250,116575,138325
11/28/2022,142500,140225,127675,136250,116575,138325
12/05/2022,142500,140225,127675,136250,116725,138325
12/12/2022,142500,140300,127675,136250,116725,138325
12/19/2022,142500,139975,127675,136250,116725,138325
12/26/2022,141790,140300,127675,136250,116745,138325
01/02/2023,141365,140300,127695,136250,116550,138325
01/09/2023,140825,140300,127775,136250,116550,138325
01/16/2023,140825,140300,127775,136250,116530,138325
01/23/2023,140825,140300,127555,136250,116500,138325
01/30/2023,140825,140300,127775,136250,116550,138325
02/06/2023,140825,140255,127775,136250,116550,138325
02/13/2023,140825,140150,127775,136250,116410,138325
02/20/2023,140825,139735,127755,136250,116550,138325
02/27/2023,140825,139650,127675,136250,116520,138325
03/06/2023,140825,139620,127675,136250,116625,138325
03/13/2023,140825,139650,127655,136250,116625,138325
03/20/2023,140825,141715,127115,136250,116945,140670
03/27/2023,141295,141020,127655,136250,117250,140000
04/03/2023,140825,140670,127650,137250,117325,140000
04/10/2023,140825,140825,128420,136250,117445,138660
04/17/2023,145000,147335,135855,136250,122530,145340
04/24/2023,145000,147765,136710,136250,123535,143420
05/01/2023,145000,143695,131400,137250,119500,138617.5
05/08/2023,141640,141225,130050,136250,118185,137500
05/15/2023,141650,140675,129615,136250,117840,137500
05/22/2023,141650,140650,129725,136250,117990,137500
05/29/2023,141650,140625,129255,136250,117910,137500
06/05/2023,141650,140625,129605,136250,117865,137500
06/12/2023,141650,140595,129560,136250,118020,137500
06/19/2023,141650,140475,129675,136250,118220,137500
06/26/2023,141650,141560,128265,136250,118425,137500
07/03/2023,141650,140550,129425,136250,118060,137500
07/10/2023,141650,140550,129575,136250,117840,137500
07/17/2023,141650,140475,129005,136250,117390,137500
07/24/2023,141650,140475,129575,136250,117715,137500
07/31/2023,141650,140520,129575,136250,117665,137500
08/07/2023,141650,140475,129375,136250,117750,137500
08/14/2023,141650,140475,128750,136250,118320,137500
08/21/2023,141650,140460,129275,136250,118350,137500
08/28/2023,141650,140505,129355,136250,118350,137500
